,school.id,school.name,school.region,school.region.name,school.province,school.cityhall,school.division,school.citymuni,school.district,school.legdistrict,school.type,school.abbrev,school.previousname,school.mother.id,school.address,school.established,school.classification,school.classification2,school.curricularclass,school.organization,school.cityincome,school.cityclass,school.urban,School ID_x,Kinder Male,Kinder Female,Grade 1 Male,Grade 1 Female,Grade 2 Male,Grade 2 Female,Grade 3 Male,Grade 3 Female,Grade 4 Male,Grade 4 Female,Grade 5 Male,Grade 5 Female,Grade 6 Male,Grade 6 Female,SPED NG Male,SPED NG Female,Grade 7 Male,Grade 7 Female,Grade 8 Male,Grade 8 Female,Grade 9 Male,Grade 9 Female,Grade 10 Male,Grade 10 Female,Grade 11 Male,Grade 11 Female,Grade 12 Male,Grade 12 Female, school.mooe ,School ID_y,rooms.standard.academic,rooms.standard.unused,rooms.nonstandard.academic,rooms.nonstandard.unused,teachers.instructor,teachers.mobile,teachers.regular,teachers.sped,MOOE
8547,107994,Indang CES,Region IV-A,CALABARZON,CAVITE,CAVITE,Cavite,INDANG,Indang I,7th District,School with no Annexes,,-,107994.0,San Gregorio St.,1/1/1910,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,107994.0,59.0,64.0,72.0,90.0,74.0,65.0,87.0,93.0,88.0,88.0,68.0,78.0,68.0,81.0,15.0,16.0,,,,,,,,,,,,,539000.0,107994.0,25.0,0.0,0.0,0.0,0.0,3.0,27.0,3.0,539000.0
8549,108787,Infanta CS,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,INFANTA,Infanta,1st District,School with no Annexes,,-,108787.0,Velasco St.,1/1/1911,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,108787.0,166.0,175.0,195.0,212.0,223.0,200.0,253.0,244.0,236.0,191.0,201.0,172.0,186.0,185.0,16.0,12.0,,,,,,,,,,,,,1169000.0,108787.0,60.0,0.0,0.0,0.0,0.0,6.0,60.0,1.0,1169000.0
8551,109662,Inosloban-Marawoy ES,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Lipa City,LIPA CITY,Lipa City North Disrict,4th District,School with no Annexes,IMES,,109662.0,-,1/1/2000,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 400 M or more,Component City,Urban,109662.0,146.0,132.0,153.0,141.0,143.0,129.0,152.0,146.0,171.0,130.0,157.0,120.0,126.0,107.0,13.0,10.0,,,,,,,,,,,,,819000.0,109662.0,36.0,0.0,0.0,0.0,0.0,2.0,36.0,0.0,819000.0
8565,109449,Jalajala ES,Region IV-A,CALABARZON,RIZAL,RIZAL,Rizal,JALA-JALA,Jalajala,2nd District,School with no Annexes,JES,,109449.0,I. Pascual St.,1/1/1942,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,109449.0,92.0,78.0,120.0,89.0,105.0,104.0,119.0,90.0,97.0,80.0,95.0,101.0,62.0,89.0,13.0,13.0,,,,,,,,,,,,,565000.0,109449.0,25.0,0.0,0.0,0.0,0.0,3.0,26.0,1.0,565000.0
8577,107319,Jocobo Zobel ES (Calatagan ES),Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,CALATAGAN,Calatagan,1st District,School with no Annexes,,CALATAGAN ES,107319.0,A. SORIANO ST.,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,107319.0,111.0,106.0,138.0,118.0,136.0,125.0,139.0,92.0,114.0,121.0,128.0,109.0,103.0,97.0,3.0,2.0,,,,,,,,,,,,,684000.0,107319.0,29.0,0.0,0.0,0.0,0.0,5.0,33.0,0.0,684000.0
8590,109817,Jose Rizal MS,Region IV-A,CALABARZON,LAGUNA,LAGUNA,Calamba City,CITY OF CALAMBA,Calamba City East I,2nd District,School with no Annexes,JRMS,none,109817.0,J. P. Rizal St.,1/1/1953,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Component City,Urban,109817.0,230.0,263.0,373.0,345.0,388.0,377.0,429.0,412.0,362.0,361.0,321.0,309.0,292.0,284.0,82.0,66.0,,,,,,,,,,,,,1937000.0,109817.0,89.0,0.0,0.0,0.0,0.0,6.0,93.0,4.0,1937000.0
8599,109629,Julian R. Felipe ES,Region IV-A,CALABARZON,CAVITE,CAVITE,Cavite City,CAVITE CITY,Cavite City I District,1st District,School with no Annexes,JFES,San Antonio ES,109629.0,M. GREGORIO ST,1/1/1914,Elementary,DepED Managed,Elementary,Monograde,P 160 M or more but less than P 240 M,Component City,Urban,109629.0,154.0,158.0,185.0,203.0,205.0,141.0,204.0,170.0,215.0,162.0,185.0,160.0,184.0,196.0,39.0,13.0,,,,,,,,,,,,,1193000.0,109629.0,0.0,0.0,28.0,0.0,0.0,11.0,80.0,3.0,1193000.0
8615,109255,Kalumpang ES,Region IV-A,CALABARZON,QUEZON,QUEZON,Tayabas City,CITY OF TAYABAS,Tayabas West,1st District,School with no Annexes,,,109255.0,Tayabas-Sariaya Road,1/1/1907,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 160 M or more but less than P 240 M,Component City,Partially Urban,109255.0,38.0,36.0,71.0,61.0,59.0,61.0,92.0,58.0,58.0,62.0,45.0,47.0,56.0,59.0,16.0,9.0,,,,,,,,,,,,,370000.0,109255.0,17.0,2.0,0.0,0.0,0.0,2.0,15.0,0.0,370000.0
8623,109469,Kasiglahan Village ES,Region IV-A,CALABARZON,RIZAL,RIZAL,Rizal,RODRIGUEZ (MONTALBAN),Rodriguez II,2nd District,School with no Annexes,KVES,-,109469.0,Kasiglahan Village,1/1/2001,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,109469.0,235.0,272.0,777.0,648.0,701.0,560.0,771.0,672.0,670.0,646.0,692.0,597.0,590.0,578.0,58.0,50.0,,,,,,,,,,,,,2957000.0,109469.0,74.0,0.0,0.0,0.0,0.0,3.0,154.0,0.0,2957000.0
8668,109632,Ladislao Diwa ES,Region IV-A,CALABARZON,CAVITE,CAVITE,Cavite City,CAVITE CITY,Cavite City II District,1st District,School with no Annexes,LDES,CARIDAD ELEM. SCHOOL,109632.0,"P. BURGOS ST., CARIDAD, CAVITE CITY",1/1/1914,Elementary,DepED Managed,Elementary,Monograde,P 160 M or more but less than P 240 M,Component City,Urban,109632.0,209.0,211.0,303.0,287.0,264.0,270.0,296.0,286.0,288.0,260.0,303.0,252.0,293.0,276.0,57.0,54.0,,,,,,,,,,,,,1696000.0,109632.0,0.0,0.0,28.0,0.0,0.0,13.0,107.0,7.0,1696000.0
8674,108422,Laguna Resett. Comm. Sch.,Region IV-A,CALABARZON,LAGUNA,LAGUNA,Laguna,SAN PEDRO,San Pedro,1st District,School with no Annexes,,-,108422.0,-,1/1/1968,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Urban,108422.0,144.0,153.0,211.0,189.0,197.0,202.0,211.0,200.0,215.0,203.0,222.0,170.0,205.0,175.0,16.0,8.0,,,,,,,,,,,,,1142000.0,108422.0,30.0,0.0,0.0,0.0,0.0,2.0,57.0,1.0,1142000.0
8683,108124,Lalaan CS,Region IV-A,CALABARZON,CAVITE,CAVITE,Cavite,SILANG,Silang II,5th District,School with no Annexes,,-,108124.0,,6/1/1921,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,108124.0,54.0,45.0,84.0,63.0,94.0,67.0,98.0,70.0,87.0,60.0,72.0,69.0,58.0,53.0,38.0,8.0,,,,,,,,,,,,,426000.0,108124.0,9.0,0.0,0.0,0.0,0.0,4.0,17.0,1.0,426000.0
8705,107374,Laurel CS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,LAUREL,Laurel,3rd District,School with no Annexes,,-,107374.0,E. Caray,1/1/1921,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,107374.0,54.0,52.0,46.0,44.0,63.0,45.0,52.0,53.0,61.0,48.0,72.0,53.0,63.0,55.0,3.0,1.0,,,,,,,,,,,,,357000.0,107374.0,7.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,357000.0
8719,107409,Lemery Pilot ES,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,LEMERY,Lemery,1st District,School with no Annexes,LPES,-,107409.0,ATIENZA ST.,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,107409.0,192.0,206.0,231.0,223.0,232.0,216.0,244.0,194.0,228.0,206.0,216.0,174.0,173.0,172.0,20.0,16.0,,,,,,,,,,,,,1080000.0,107409.0,24.0,0.0,0.0,0.0,0.0,11.0,47.0,1.0,1080000.0
8724,107410,Lian CS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,LIAN,Lian,1st District,School with no Annexes,LCS,,107410.0,D. Lapitan St.,1/1/1947,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,107410.0,88.0,76.0,137.0,105.0,149.0,122.0,213.0,168.0,123.0,114.0,130.0,144.0,109.0,128.0,19.0,21.0,,,,,,,,,,,,,748000.0,107410.0,16.0,0.0,0.0,0.0,0.0,4.0,36.0,0.0,748000.0
8739,108297,Liliw CES,Region IV-A,CALABARZON,LAGUNA,LAGUNA,Laguna,LILIW,Liliw,3rd District,School with no Annexes,,-,108297.0,Rizal,1/1/1909,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,108297.0,137.0,116.0,156.0,173.0,187.0,136.0,186.0,185.0,156.0,157.0,158.0,151.0,166.0,122.0,8.0,0.0,,,,,,,,,,,,,934000.0,108297.0,40.0,0.0,0.0,0.0,0.0,5.0,46.0,1.0,934000.0
8753,107436,Lobo Elementary School,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,LOBO,Lobo,2nd District,School with no Annexes,LES,Lobo CS,107436.0,P.Burgos St.,1/1/1922,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,107436.0,61.0,70.0,76.0,84.0,75.0,76.0,77.0,72.0,95.0,72.0,99.0,77.0,81.0,72.0,9.0,3.0,,,,,,,,,,,,,501000.0,107436.0,11.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,501000.0
8769,108847,Lopez West Elementary School Bldg. I,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,LOPEZ,Lopez West,4th District,School with no Annexes,LWES Bldg. I,,108847.0,San Roque,1/1/1909,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,108847.0,78.0,77.0,113.0,113.0,96.0,112.0,128.0,97.0,97.0,90.0,116.0,119.0,99.0,87.0,12.0,12.0,,,,,,,,,,,,,655000.0,108847.0,33.0,0.0,0.0,0.0,0.0,6.0,35.0,2.0,655000.0
8771,109329,Lores ES,Region IV-A,CALABARZON,RIZAL,CITY OF ANTIPOLO,Antipolo City,CITY OF ANTIPOLO,District II-B,2nd District,School with no Annexes,,,109329.0,"Baht Street, Lores Subdivision",1/1/1986,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 400 M or more,Component City,Urban,109329.0,173.0,165.0,257.0,214.0,273.0,244.0,239.0,213.0,264.0,242.0,204.0,210.0,214.0,181.0,4.0,4.0,,,,,,,,,,,,,1221000.0,109329.0,35.0,0.0,0.0,0.0,0.0,3.0,64.0,0.0,1221000.0
8786,109714,Lucena East VII ES,Region IV-A,CALABARZON,QUEZON,QUEZON,Lucena City,LUCENA CITY (Capital),Lucena East District,2nd District,School with no Annexes,East VII,-N/A,109714.0,Corner Alfaro & Aguilar St.,1/1/1975,Elementary,DepED Managed,Elementary,Monograde,P 320 M or more but less than P 400 M,Highly Urbanized City,Urban,109714.0,109.0,95.0,130.0,113.0,111.0,95.0,104.0,83.0,87.0,103.0,87.0,83.0,96.0,82.0,25.0,23.0,,,,,,,,,,,,,589000.0,109714.0,20.0,0.0,0.0,0.0,0.0,2.0,21.0,4.0,589000.0
8793,109742,Lucena West I ES,Region IV-A,CALABARZON,QUEZON,QUEZON,Lucena City,LUCENA CITY (Capital),Lucena West District,2nd District,School with no Annexes,West I,,109742.0,M.L. Tagarao St. Ila. Iyam,1/1/1903,Elementary,DepED Managed,Elementary,Monograde,P 320 M or more but less than P 400 M,Highly Urbanized City,Urban,109742.0,258.0,245.0,273.0,288.0,321.0,289.0,278.0,326.0,290.0,276.0,261.0,234.0,244.0,223.0,48.0,22.0,,,,,,,,,,,,,1499000.0,109742.0,67.0,1.0,0.0,0.0,0.0,10.0,66.0,4.0,1499000.0
8824,163502,Luta Norte ES,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,MALVAR,Malvar,3rd District,School with no Annexes,,Luta Norte PS,163502.0,-,1/1/2003,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,163502.0,31.0,32.0,36.0,24.0,31.0,23.0,39.0,36.0,30.0,19.0,32.0,29.0,26.0,19.0,22.0,9.0,,,,,,,,,,,,,203000.0,163502.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,203000.0
8827,109186,Lutucan CS,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,SARIAYA,Sariaya West,2nd District,School with no Annexes,,-,109186.0,Malabag,1/1/1942,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,109186.0,59.0,53.0,91.0,79.0,99.0,78.0,92.0,90.0,103.0,89.0,84.0,68.0,72.0,60.0,14.0,8.0,,,,,,,,,,,,,498000.0,109186.0,22.0,0.0,0.0,0.0,0.0,4.0,25.0,1.0,498000.0
8852,107454,Mabini CS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,MABINI,Mabini,2nd District,School with no Annexes,,-,107454.0,Mabini,1/1/1930,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,107454.0,85.0,88.0,88.0,57.0,101.0,82.0,116.0,88.0,87.0,80.0,82.0,80.0,75.0,80.0,13.0,3.0,,,,,,,,,,,,,548000.0,107454.0,26.0,3.0,0.0,0.0,0.0,3.0,29.0,0.0,548000.0
8873,108877,Macalelon Central Elementary School,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,MACALELON,Macalelon,3rd District,Mother school,MCES,,108877.0,Rizal,1/1/1925,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,108877.0,71.0,83.0,100.0,87.0,101.0,78.0,131.0,110.0,128.0,112.0,85.0,79.0,87.0,91.0,20.0,5.0,,,,,,,,,,,,,660000.0,108877.0,32.0,0.0,0.0,0.0,0.0,6.0,40.0,1.0,660000.0
8884,107832,Magahis ES,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,TUY,Tuy,1st District,School with no Annexes,,-,107832.0,"-Magahis, Tuy, Batangas",1/1/1937,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,107832.0,20.0,21.0,19.0,17.0,23.0,22.0,33.0,22.0,26.0,18.0,22.0,26.0,18.0,20.0,6.0,3.0,,,,,,,,,,,,,166000.0,107832.0,5.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,166000.0
8885,108031,Magallanes ES,Region IV-A,CALABARZON,CAVITE,CAVITE,Cavite,MAGALLANES,Magallanes,7th District,School with no Annexes,,-,108031.0,120 Real St.,6/1/1933,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,108031.0,36.0,31.0,38.0,34.0,34.0,35.0,36.0,31.0,30.0,28.0,21.0,24.0,34.0,18.0,6.0,3.0,,,,,,,,,,,,,262000.0,108031.0,13.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,262000.0
8891,108341,Magdalena Cs (Ananias Laico MES),Region IV-A,CALABARZON,LAGUNA,LAGUNA,Laguna,MAGDALENA,Magdalena,4th District,School with no Annexes,ALMES,-,108341.0,Jacinto,1/1/1960,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,108341.0,88.0,76.0,81.0,78.0,89.0,79.0,86.0,81.0,67.0,75.0,86.0,67.0,94.0,86.0,11.0,6.0,,,,,,,,,,,,,514000.0,108341.0,19.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,514000.0
8925,108348,Majayjay Elementary School,Region IV-A,CALABARZON,LAGUNA,LAGUNA,Laguna,MAJAYJAY,Majayjay,4th District,School with no Annexes,MES,none,108348.0,P. Zamora,1/1/1902,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Rural,108348.0,87.0,86.0,110.0,108.0,114.0,92.0,141.0,123.0,123.0,115.0,99.0,97.0,120.0,118.0,13.0,6.0,,,,,,,,,,,,,670000.0,108348.0,28.0,2.0,0.0,0.0,0.0,3.0,32.0,0.0,670000.0
8961,109451,Malaya ES,Region IV-A,CALABARZON,RIZAL,RIZAL,Rizal,PILILLA,Pililla,2nd District,School with no Annexes,MES,-,109451.0,National Road,1/1/1933,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Urban,109451.0,70.0,74.0,97.0,97.0,96.0,75.0,101.0,80.0,75.0,74.0,87.0,68.0,79.0,82.0,15.0,8.0,,,,,,,,,,,,,502000.0,109451.0,21.0,5.0,0.0,0.0,0.0,2.0,21.0,1.0,502000.0
8983,107471,Malvar CS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,MALVAR,Malvar,3rd District,School with no Annexes,,-,107471.0,P. Montecer,1/1/1936,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,107471.0,76.0,67.0,89.0,97.0,95.0,104.0,84.0,85.0,104.0,90.0,98.0,83.0,97.0,95.0,14.0,3.0,,,,,,,,,,,,,543000.0,107471.0,17.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,543000.0
9000,107951,Manggahan ES,Region IV-A,CALABARZON,CAVITE,CAVITE,Cavite,GENERAL TRIAS,General Trias I,6th District,School with no Annexes,MES,Manggahan Barrio School,107951.0,"Madrid St. Stateland Manggahan, General Trias, Cavite",6/1/1972,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Urban,107951.0,112.0,100.0,153.0,129.0,101.0,118.0,162.0,118.0,115.0,110.0,121.0,74.0,79.0,78.0,36.0,21.0,,,,,,,,,,,,,569000.0,107951.0,17.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,569000.0
9013,109637,Manuel S. Rojas ES,Region IV-A,CALABARZON,CAVITE,CAVITE,Cavite City,CAVITE CITY,Cavite City III District,1st District,School with no Annexes,MRES,SAN ROQUE ELEM. SCHOOL,109637.0,"DRA. SALAMANCA ST.,",1/1/1970,Elementary,DepED Managed,Elementary,Monograde,P 160 M or more but less than P 240 M,Component City,Urban,109637.0,113.0,102.0,144.0,142.0,150.0,130.0,174.0,158.0,154.0,111.0,134.0,160.0,131.0,131.0,31.0,14.0,,,,,,,,,,,,,853000.0,109637.0,0.0,0.0,9.0,0.0,0.0,6.0,60.0,1.0,853000.0
9029,109417,Mariano C. San Juan ES,Region IV-A,CALABARZON,RIZAL,RIZAL,Rizal,CARDONA,Cardona,2nd District,School with no Annexes,MCSJES,-,109417.0,Rodriguez St.,1/1/1930,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Urban,109417.0,98.0,104.0,119.0,143.0,123.0,114.0,115.0,130.0,131.0,114.0,110.0,117.0,144.0,106.0,10.0,11.0,,,,,,,,,,,,,658000.0,109417.0,27.0,0.0,0.0,0.0,0.0,2.0,34.0,0.0,658000.0
9076,108894,Mauban North ES I,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,MAUBAN,Mauban North,1st District,School with no Annexes,,-,108894.0,Gomez,1/1/1969,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,108894.0,78.0,97.0,101.0,104.0,113.0,91.0,111.0,98.0,118.0,126.0,96.0,95.0,109.0,71.0,8.0,5.0,,,,,,,,,,,,,627000.0,108894.0,24.0,0.0,1.0,0.0,0.0,5.0,33.0,1.0,627000.0
9078,108911,Mauban South CES I,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,MAUBAN,Mauban South,1st District,School with no Annexes,,,108911.0,Quezon,1/1/1946,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,108911.0,71.0,66.0,82.0,82.0,90.0,111.0,85.0,102.0,92.0,92.0,79.0,92.0,67.0,90.0,21.0,18.0,,,,,,,,,,,,,575000.0,108911.0,30.0,0.0,0.0,0.0,0.0,7.0,27.0,0.0,575000.0
9079,165006,Mauban South CES II,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,MAUBAN,Mauban South,1st District,School with no Annexes,,,165006.0,Quezon,1/1/1946,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,165006.0,83.0,92.0,75.0,68.0,74.0,62.0,70.0,59.0,79.0,73.0,70.0,58.0,63.0,54.0,0.0,0.0,,,,,,,,,,,,,457000.0,165006.0,20.0,0.0,0.0,0.0,0.0,2.0,24.0,1.0,457000.0
9093,109854,Mayapa Elementary School,Region IV-A,CALABARZON,LAGUNA,LAGUNA,Calamba City,CITY OF CALAMBA,Calamba City West,2nd District,School with no Annexes,MES,-,109854.0,-,1/1/1951,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Component City,Urban,109854.0,148.0,145.0,226.0,189.0,231.0,219.0,225.0,203.0,236.0,173.0,192.0,185.0,201.0,176.0,52.0,21.0,,,,,,,,,,,,,1079000.0,109854.0,38.0,0.0,0.0,0.0,0.0,4.0,44.0,1.0,1079000.0
9097,109436,Maybancal ES,Region IV-A,CALABARZON,RIZAL,RIZAL,Rizal,MORONG,Morong,2nd District,School with no Annexes,none,-,109436.0,G. Robles St.,1/1/1920,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Urban,109436.0,60.0,54.0,84.0,79.0,89.0,70.0,94.0,84.0,77.0,59.0,52.0,59.0,48.0,71.0,47.0,20.0,,,,,,,,,,,,,424000.0,109436.0,16.0,0.0,0.0,0.0,0.0,1.0,19.0,2.0,424000.0
9106,108056,Mendez CS,Region IV-A,CALABARZON,CAVITE,CAVITE,Cavite,MENDEZ (MENDEZ-NUÑEZ),Mendez,7th District,School with no Annexes,,-,108056.0,Alegre St.,6/1/1918,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,108056.0,73.0,60.0,89.0,106.0,74.0,76.0,102.0,95.0,68.0,94.0,79.0,78.0,62.0,79.0,13.0,12.0,,,,,,,,,,,,,504000.0,108056.0,23.0,0.0,0.0,0.0,0.0,5.0,23.0,0.0,504000.0
9126,108935,Mulanay CES,Region IV-A,CALABARZON,QUEZON,QUEZON,Quezon,MULANAY,Mulanay,3rd District,School with no Annexes,,-,108935.0,F. Nanadiego,1/1/1935,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,108935.0,157.0,136.0,139.0,170.0,176.0,185.0,210.0,137.0,210.0,206.0,156.0,163.0,154.0,164.0,6.0,3.0,,,,,,,,,,,,,1017000.0,108935.0,46.0,0.0,0.0,0.0,0.0,5.0,49.0,0.0,1017000.0
9129,107218,Munlawin ES,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,ALITAGTAG,Alitagtag,3rd District,School with no Annexes,MES,-none,107218.0,Munlawin,1/1/1938,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,107218.0,26.0,20.0,25.0,17.0,19.0,26.0,13.0,24.0,19.0,17.0,26.0,32.0,15.0,15.0,6.0,3.0,,,,,,,,,,,,,174000.0,107218.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,174000.0
9150,107511,Nasugbu East Central School,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,NASUGBU,Nasugbu East,1st District,School with no Annexes,,Nasugbu East Central School,107511.0,-,1/1/1932,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,107511.0,71.0,75.0,71.0,73.0,78.0,72.0,77.0,96.0,78.0,76.0,79.0,84.0,59.0,80.0,1.0,3.0,,,,,,,,,,,,,460000.0,107511.0,12.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,460000.0
9151,107512,Nasugbu West CS,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,NASUGBU,Nasugbu West,1st District,School with no Annexes,,-,107512.0,CONCEPCION,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,107512.0,244.0,220.0,298.0,284.0,287.0,263.0,363.0,304.0,260.0,271.0,299.0,282.0,263.0,255.0,27.0,19.0,,,,,,,,,,,,,1494000.0,107512.0,45.0,0.0,0.0,0.0,0.0,11.0,65.0,2.0,1494000.0
9159,107242,Navotas ES,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,BALAYAN,Balayan West,1st District,School with no Annexes,,-,107242.0,"Brgy. Navotas, Balayan, Batangas",1/1/1947,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,107242.0,32.0,27.0,40.0,35.0,35.0,40.0,67.0,43.0,30.0,28.0,32.0,31.0,25.0,29.0,5.0,9.0,,,,,,,,,,,,,226000.0,107242.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,226000.0
9202,107219,Paaralang Elementarya ng Muzon,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,ALITAGTAG,Alitagtag,3rd District,School with no Annexes,,-Muzon ES,107219.0,Muzon,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,107219.0,34.0,35.0,34.0,20.0,27.0,35.0,47.0,38.0,41.0,41.0,32.0,28.0,20.0,31.0,3.0,1.0,,,,,,,,,,,,,241000.0,107219.0,7.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,241000.0
9214,168001,Paaralang Pag-ibig at Pag-asa,Region IV-A,CALABARZON,LAGUNA,LAGUNA,San Pablo City,SAN PABLO CITY,Ambray,3rd District,School with no Annexes,PPP,Paaralang Pag-ibig at Pag-asa,168001.0,Phase 1 Villa Antonio Subdivision,1/1/1974,Elementary,DepED Managed,Integrated - Elem & Sec,Multigrade,P 400 M or more,Component City,Urban,168001.0,65.0,25.0,18.0,19.0,4.0,3.0,2.0,6.0,0.0,5.0,5.0,3.0,4.0,6.0,23.0,33.0,,,,,,,,,,,,,156000.0,168001.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,156000.0
9215,107487,Paaralang Sentral ng Mataasnakahoy,Region IV-A,CALABARZON,BATANGAS,BATANGAS,Batangas,MATAASNAKAHOY,Mataas Na Kahoy,3rd District,Mother school,,Paaralang Sentral ng Mataasnakahoy,107487.0,F. Silva St.,1/1/1901,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,107487.0,95.0,89.0,80.0,79.0,99.0,84.0,114.0,93.0,89.0,90.0,119.0,95.0,93.0,85.0,16.0,9.0,,,,,,,,,,,,,573000.0,107487.0,22.0,0.0,0.0,0.0,0.0,7.0,26.0,0.0,573000.0
